address,lat,lon,total_tickets,total_owed,total_paid
4006 W. POLK ST,41.871142,-87.7258406,7,6130.56,0
401 W. 103RD PL,41.7056686,-87.6336122,10,12017.43,0
402 W. 111TH ST,41.692734,-87.633083,7,11999.46,0
4038 W. 16TH ST,41.859083,-87.727203,13,17092.59,0
406 W. 61ST ST,41.783806,-87.635486,2,4014.97,0
408 W. 61ST ST,41.783804,-87.635587,2,4014.97,0
410 W. 109TH ST,41.6963414,-87.6331752,5,7463.71,0
410 W. 118TH ST,41.680009,-87.6328107,1,1115.93,0
410 W. 61ST ST,41.7837957,-87.6357448,4,6605.14,0
4112 W. 16TH ST,41.85907,-87.728072,13,22700.72,0
4118 W. 16TH ST,41.859067,-87.7282479,12,19650.98,0
4135 W. HARRISON ST,41.8731389,-87.7292762,7,13024.01,0
417 W. 69TH ST,41.7687805,-87.6354481,5,10185.2,0
417-427 W. 69TH ST,41.7687805,-87.6354481,5,5257.87,0
420 W. 103RD ST,41.7073279,-87.633758,2,4717.05,0
4221 W. MAYPOLE AVE,41.884234,-87.731585,18,33138.43,0
423 W. 103RD ST,41.7068135,-87.6341542,6,15775.23,0
4247 W. 16TH ST,41.858515,-87.731679,3,7413.79,0
4259 W. 16TH ST,41.858508,-87.732122,11,23798.2,1040.91
427 W. 69TH ST,41.768762,-87.6356689,7,8691.47,0
429 W. 110TH PL,41.693111,-87.634078,2,1274.66,0
432 N. CICERO AVE,41.888884,-87.7459462,3,3856.88,0
432 W. 79TH PL,41.7499973,-87.6358464,1,1830.61,0
433 N. RIDGEWAY AVE,41.8891225,-87.7194666,2,6097.8,0
434 N. CICERO AVE,41.8889299,-87.7459241,1,1227.3,0
4342 W. MADISON ST,41.8810092,-87.734841,4,4094,0
435 N. HAMLIN AVE,41.889136,-87.720642,10,12111.47,1494.33
436 N. CICERO AVE,41.8889717,-87.7459302,6,12854.3,0
439 N. AVERS AVE,41.8891916,-87.7218989,10,13406.17,0
4407 W. MAYPOLE AVE,41.884183,-87.73595,28,52680.13,0
442 W. 79TH PL,41.7500322,-87.6358896,19,20681.74,0
443 W. 102ND PL,41.707696,-87.635368,5,11355,0
445 N. RIDGEWAY AVE,41.8893626,-87.719449,8,3944.61,901.28
451 N. AVERS AVE,41.8896179,-87.7219362,3,11109.87,0
4524 W. WILCOX ST,41.878979,-87.739595,4,2370.39,0
4540 W. WILCOX ST,41.87898,-87.739504,7,10070.07,0
4547 W. POLK ST,41.8700515,-87.7396365,45,47300.27,240
4548 W. WILCOX ST,41.878976,-87.739778,1,1789.94,0
4555 W. MONROE ST,41.879333,-87.73979,16,25274.09,0
458 W. 61ST ST,41.7837993,-87.6372724,24,36987.3,0
459 N. HARDING AVE,41.889742,-87.724352,5,4249.28,0
4600 W. FLOURNOY ST,41.872689,-87.740663,1,628.53,0
4602 W. FLOURNOY ST,41.872544,-87.740711,2,1391.54,0
4612 W. ADAMS ST,41.87845,-87.740943,9,13838.83,0
4614 W. OHIO ST,41.891709,-87.741657,4,4143.71,0
4635 W. ERIE ST,41.8920663,-87.7423634,20,39588.91,0
4645 W. ERIE ST,41.892077,-87.7427833,10,18345.62,0
4710 W. FLOURNOY ST,41.872517,-87.743132,9,14638.2,0
4720 W. FLOURNOY ST,41.872513,-87.743453,3,3286.04,0
4724 W. FLOURNOY ST,41.872512,-87.743545,9,15160.52,0
4727 W. ERIE ST,41.8920419,-87.744513,1,2997.68,0
4728 W. FLOURNOY ST,41.8725521,-87.7439919,1,1045.31,0
4740 W. POLK ST,41.8707359,-87.7441592,4,6989.21,0
4741 W. HARRISON ST,41.8729205,-87.7441544,4,5966.11,0
4741-4745 W. HARRISON ST,41.8729205,-87.7441544,1,1854.76,0
4743-45 W. HARRISON ST,41.8729344,-87.7442155,1,927.63,0
4743-4745 W. HARRISON ST,41.8729175,-87.7442765,12,15033.08,0
4745 W. HARRISON ST,41.872927,-87.744296,10,12497.86,0
4751-4757 W. JACKSON BLVD,41.8768172,-87.7448386,5,8803.67,0
4820 S. SHIELDS AVE,41.80681,-87.634851,2,1622.08,0
4826 W. KINZIE ST,41.888104,-87.746799,21,26287.26,0
4925 S. HALSTED ST,41.8043959,-87.6449998,1,136.04,0
4947 S. ASHLAND AVE,41.8034978,-87.6644384,1,0,0
5001 S. HALSTED ST,41.803295,-87.64502,1,3934.12,0
5012 S. ASHLAND AVE,41.8026567,-87.6652056,6,-0.04,2407.89
5017 S. ASHLAND AVE,41.8025756,-87.6644676,3,426.14,0
5027 S. ASHLAND AVE,41.8022458,-87.6644809,5,8482.29,0
5044 S. ADA ST,41.801913,-87.6590779,7,30048.81,0
508 W. 103RD ST,41.707304,-87.6359152,1,1508.42,0
5101 W. CHICAGO AVE,41.8947142,-87.7533806,11,13045.88,0
5117 S. WOLCOTT AVE,41.8006848,-87.6717407,18,33279.33,563.92
513 W. 111TH ST,41.692181,-87.635704,3,6740.5,0
517 W. 80TH ST,41.748651,-87.637415,13,31955.39,0
5209 S. CARPENTER ST,41.7993152,-87.6511573,13,24030.26,0
521 W. 80TH ST,41.748649,-87.637547,7,17343.59,0
5220 W. DIVISION ST,41.902442,-87.7566705,16,15557.06,979.05
5222 S. MAY ST,41.7988871,-87.654088,3,5088.24,0
5229 S. MORGAN ST,41.7987695,-87.6498046,2,6600.92,0
5232 S. ASHLAND AVE,41.798572,-87.6650797,6,8135.23,0
5236 S. ASHLAND AVE,41.798418,-87.665104,4,4279.05,0
5238 S. PEORIA ST,41.7985789,-87.648059,19,38819.26,0
5238-5242 S. PEORIA ST,41.798568,-87.6480448,10,21220.06,0
5242 S. PEORIA ST,41.79851,-87.648058,12,22729,0
5243 S. SEELEY AVE,41.797643,-87.675325,5,9543.17,0
529 W. 61ST PL,41.7824291,-87.6386892,21,38604.15,926.55
5306 S. PRINCETON AVE,41.7978766,-87.6333857,2,3163.44,0
5311 S. DAMEN AVE,41.7972647,-87.6740507,12,26186.97,0
5315 S. HALSTED ST,41.7974561,-87.6448132,3,2477.78,0
5321 S. HONORE ST,41.7970193,-87.6704967,20,35175.44,0
5419 S. ASHLAND AVE,41.795255,-87.6642441,3,17611.84,0
5421 S. ABERDEEN ST,41.7953995,-87.6521443,8,34798.38,0
546 W. 60TH PL,41.784591,-87.6394186,1,2933.71,0
551 W. 124TH ST,41.667965,-87.636342,7,13044.35,0
5514 S. EMERALD AVE,41.7933718,-87.644236,6,10467.52,0
5520 S. ASHLAND AVE,41.7929662,-87.6649789,20,30061.01,682
5522 S. LAFLIN ST,41.792955,-87.662483,16,29410.25,0
5524 S. MAY ST,41.7930676,-87.6539335,5,9316.44,0
5529 S. EMERALD AVE,41.7930888,-87.6435509,1,3270.36,0
5535 S. ASHLAND AVE,41.7926524,-87.6641568,1,575.13,0
554 N. RIDGEWAY AVE,41.891522,-87.720205,1,1077.21,0
5542 S. ASHLAND AVE,41.792376,-87.664945,16,25109.36,600
5542 S. DAMEN AVE,41.792256,-87.674615,8,8054.57,0
5554 S. LAFLIN ST,41.792406,-87.6624719,19,43468.64,0
559 W. 123RD ST,41.670417,-87.6366643,22,69640.94,0
5600-5602 S. THROOP ST,41.7922753,-87.6572461,1,4712.2,0
5601 S. ASHLAND AVE,41.7919735,-87.6641448,1,3581.71,0
5602 S. THROOP ST,41.7920987,-87.6575234,10,20258.55,0
5608 S. ELIZABETH ST,41.792007,-87.656394,7,14030.94,0
5610 S. EMERALD AVE,41.7921144,-87.6442368,5,11037.33,0
5613 S. MAY ST,41.791911,-87.653262,5,18736.26,0
5621 S. STATE ST,41.792011,-87.6254474,29,70974.29,0
5622 S. SANGAMON ST,41.791695,-87.649087,1,1985.32,0
5627 S. JUSTINE ST,41.7914693,-87.6629718,6,11524.81,0
5629 S. ELIZABETH ST,41.791511,-87.6557071,6,13658.24,0
5631 S. JUSTINE ST,41.7912432,-87.6629352,7,19365.84,0
5631 S. LAFLIN ST,41.7912847,-87.6617784,6,7924.66,0
5631 S. STATE ST,41.7919419,-87.625246,8,15679.46,0
5637 S. STATE ST,41.7916669,-87.625158,16,35552.55,0
5637-5643 S. STATE ST,41.7916669,-87.625158,5,3228.35,0
5639 S. ASHLAND AVE,41.7911295,-87.6641282,1,1057.6,0
5641 S. ASHLAND AVE,41.791004,-87.664123,2,2030.44,0
5643 S. ASHLAND AVE,41.790935,-87.664121,1,2441.38,0
5643 S. RACINE AVE,41.7911026,-87.6544691,10,14198.81,0
5647 S. STATE ST,41.791499,-87.625153,14,24815.08,0
5647-5649 S. STATE ST,41.791499,-87.625153,1,1977.06,0
5649 S. STATE ST,41.791431,-87.625151,6,15523.61,0
5655 S. PEORIA ST,41.790823,-87.647146,37,75295.85,0
5655 S. TROY ST,41.7900701,-87.7018689,1,451.27,0
5656 S. JUSTINE ST,41.7905725,-87.6636037,24,40370.81,986.92
5700 S. GREEN ST,41.7904848,-87.6466059,36,87764.11,0
5700 S. SANGAMON ST,41.7904115,-87.648989,22,43232.82,0
5701 S. GREEN ST,41.790542,-87.645939,21,49781.02,0
5705 S. GREEN ST,41.790475,-87.645937,16,38889.14,0
5706 S. ASHLAND AVE,41.79003,-87.6648869,2,2793.55,0
5706 S. LA SALLE ST,41.7906517,-87.6294767,6,11520.9,0
5709 S. GREEN ST,41.7902469,-87.6459282,22,56529.99,0
5720 S. EMERALD AVE,41.790052,-87.6441862,4,7090.72,0
5720 S. LA SALLE ST,41.790402,-87.629559,2,3935.78,0
5722 S. EMERALD AVE,41.789904,-87.644177,3,6329.59,0
5727 S. THROOP ST,41.7896989,-87.6568489,1,1642.57,0
5728 S. BISHOP ST,41.7896785,-87.6611675,4,9758.03,0
5731 S. CARPENTER ST,41.7896045,-87.6508146,14,38215.39,0
5739 S. ELIZABETH ST,41.789433,-87.6557721,10,15068.57,0
5740 S. JUSTINE ST,41.78919,-87.663588,7,12191.24,0
5742 S. JUSTINE ST,41.789121,-87.663586,10,17369.82,0
5746 S. JUSTINE ST,41.789052,-87.663584,15,22708.01,0
5748 S. GREEN ST,41.7892592,-87.6465573,3,7148.35,0
5751 S. ASHLAND AVE,41.788908,-87.664072,7,10900.57,4254.12
5754 S. STATE ST,41.789382,-87.625934,1,1042.71,0
5759 S. HOYNE AVE,41.7886806,-87.6762504,15,35836.44,0
5762 S. STATE ST,41.789176,-87.625929,1,2732.72,0
